county_fips,state,county,median_acres_1950_2025,complete_1950_2010
17001,ILLINOIS,ADAMS,119700,True
17003,ILLINOIS,ALEXANDER,34300,True
17005,ILLINOIS,BOND,70400,True
17007,ILLINOIS,BOONE,35750,True
17009,ILLINOIS,BROWN,32200,True
17011,ILLINOIS,BUREAU,122500,True
17013,ILLINOIS,CALHOUN,13000,True
17015,ILLINOIS,CARROLL,15000,True
17017,ILLINOIS,CASS,57900,True
17019,ILLINOIS,CHAMPAIGN,246200,True
17021,ILLINOIS,CHRISTIAN,165500,True
17023,ILLINOIS,CLARK,97050,True
17025,ILLINOIS,CLAY,91350,True
17027,ILLINOIS,CLINTON,81000,True
17029,ILLINOIS,COLES,109000,True
17033,ILLINOIS,CRAWFORD,85750,True
17035,ILLINOIS,CUMBERLAND,67700,True
17037,ILLINOIS,DE KALB,103000,True
17039,ILLINOIS,DE WITT,91000,True
17041,ILLINOIS,DOUGLAS,107400,True
17045,ILLINOIS,EDGAR,144200,True
17047,ILLINOIS,EDWARDS,38550,True
17049,ILLINOIS,EFFINGHAM,90250,True
17051,ILLINOIS,FAYETTE,119750,True
17053,ILLINOIS,FORD,125000,True
17055,ILLINOIS,FRANKLIN,63600,True
17057,ILLINOIS,FULTON,104200,True
17059,ILLINOIS,GALLATIN,59700,True
17061,ILLINOIS,GREENE,84500,True
17063,ILLINOIS,GRUNDY,84600,True
17065,ILLINOIS,HAMILTON,77750,True
17067,ILLINOIS,HANCOCK,142600,True
17071,ILLINOIS,HENDERSON,41600,True
17073,ILLINOIS,HENRY,95000,True
17075,ILLINOIS,IROQUOIS,267500,True
17077,ILLINOIS,JACKSON,62100,True
17079,ILLINOIS,JASPER,109700,True
17081,ILLINOIS,JEFFERSON,80500,True
17083,ILLINOIS,JERSEY,50700,True
17085,ILLINOIS,JO DAVIESS,8800,True
17087,ILLINOIS,JOHNSON,11200,True
17089,ILLINOIS,KANE,53300,True
17091,ILLINOIS,KANKAKEE,132700,True
17093,ILLINOIS,KENDALL,58550,True
17095,ILLINOIS,KNOX,85750,True
17099,ILLINOIS,LA SALLE,231400,True
17097,ILLINOIS,LAKE,17100,True
17101,ILLINOIS,LAWRENCE,52500,True
17103,ILLINOIS,LEE,108900,True
17105,ILLINOIS,LIVINGSTON,272700,True
17107,ILLINOIS,LOGAN,139600,True
17115,ILLINOIS,MACON,130300,True
17117,ILLINOIS,MACOUPIN,148950,True
17119,ILLINOIS,MADISON,113400,True
17121,ILLINOIS,MARION,91000,True
17123,ILLINOIS,MARSHALL,63600,True
17125,ILLINOIS,MASON,82700,True
17127,ILLINOIS,MASSAC,25750,True
17109,ILLINOIS,MCDONOUGH,109400,True
17111,ILLINOIS,MCHENRY,44100,True
17113,ILLINOIS,MCLEAN,283500,True
17129,ILLINOIS,MENARD,61900,True
17131,ILLINOIS,MERCER,58000,True
17133,ILLINOIS,MONROE,56550,True
17135,ILLINOIS,MONTGOMERY,141000,True
17137,ILLINOIS,MORGAN,106400,True
17139,ILLINOIS,MOULTRIE,77800,True
17141,ILLINOIS,OGLE,71300,True
17143,ILLINOIS,PEORIA,68700,True
17145,ILLINOIS,PERRY,59650,True
17147,ILLINOIS,PIATT,113500,True
17149,ILLINOIS,PIKE,95500,True
17153,ILLINOIS,PULASKI,31300,True
17155,ILLINOIS,PUTNAM,22200,True
17157,ILLINOIS,RANDOLPH,71000,True
17159,ILLINOIS,RICHLAND,74000,True
17161,ILLINOIS,ROCK ISLAND,27950,True
17165,ILLINOIS,SALINE,43700,True
17167,ILLINOIS,SANGAMON,161400,True
17169,ILLINOIS,SCHUYLER,54300,True
17171,ILLINOIS,SCOTT,40650,True
17173,ILLINOIS,SHELBY,151600,True
17163,ILLINOIS,ST CLAIR,106550,True
17175,ILLINOIS,STARK,51450,True
17177,ILLINOIS,STEPHENSON,26500,True
17179,ILLINOIS,TAZEWELL,103000,True
17181,ILLINOIS,UNION,25700,True
17183,ILLINOIS,VERMILION,200200,True
17185,ILLINOIS,WABASH,44050,True
17187,ILLINOIS,WARREN,68500,True
17189,ILLINOIS,WASHINGTON,119650,True
17191,ILLINOIS,WAYNE,127400,True
17193,ILLINOIS,WHITE,96900,True
17195,ILLINOIS,WHITESIDE,69150,True
17197,ILLINOIS,WILL,106200,True
17199,ILLINOIS,WILLIAMSON,19300,True
17201,ILLINOIS,WINNEBAGO,36000,True
17203,ILLINOIS,WOODFORD,99250,True
18001,INDIANA,ADAMS,73900,True
18003,INDIANA,ALLEN,96650,True
18005,INDIANA,BARTHOLOMEW,42250,True
18007,INDIANA,BENTON,104500,True
18009,INDIANA,BLACKFORD,32300,True
18011,INDIANA,BOONE,86650,True
18015,INDIANA,CARROLL,58500,True
18017,INDIANA,CASS,63200,True
18019,INDIANA,CLARK,24350,True
18021,INDIANA,CLAY,45400,True
18023,INDIANA,CLINTON,88000,True
18027,INDIANA,DAVIESS,38700,True
18033,INDIANA,DE KALB,54350,True
18029,INDIANA,DEARBORN,8200,True
18031,INDIANA,DECATUR,39400,True
18035,INDIANA,DELAWARE,70800,True
18037,INDIANA,DUBOIS,21000,True
18039,INDIANA,ELKHART,37950,True
18041,INDIANA,FAYETTE,19950,True
18045,INDIANA,FOUNTAIN,68300,True
18047,INDIANA,FRANKLIN,18350,True
18049,INDIANA,FULTON,55300,True
18051,INDIANA,GIBSON,68200,True
18053,INDIANA,GRANT,90850,True
18055,INDIANA,GREENE,36650,True
18057,INDIANA,HAMILTON,56950,True
18059,INDIANA,HANCOCK,65100,True
18061,INDIANA,HARRISON,16200,True
18063,INDIANA,HENDRICKS,61150,True
18065,INDIANA,HENRY,67300,True
18067,INDIANA,HOWARD,63850,True
18069,INDIANA,HUNTINGTON,78000,True
18071,INDIANA,JACKSON,42400,True
18073,INDIANA,JASPER,89900,True
18075,INDIANA,JAY,72800,True
18077,INDIANA,JEFFERSON,20400,True
18079,INDIANA,JENNINGS,29300,True
18081,INDIANA,JOHNSON,39600,True
18083,INDIANA,KNOX,80900,True
18085,INDIANA,KOSCIUSKO,60300,True
