county_fips,year,acres_harvested
17007,1951,2400
17007,1952,1800
17007,1953,2200
17007,1954,2700
17007,1955,3800
17007,1956,4200
17007,1957,4300
17007,1958,6300
17007,1959,4500
17007,1960,5500
17007,1961,7500
17007,1962,8800
17007,1963,9000
17007,1964,10900
17007,1965,14500
17007,1966,17600
17007,1967,16300
17007,1968,20000
17007,1969,23000
17007,1970,22500
17007,1971,23500
17007,1972,26900
17007,1973,40000
17007,1974,32800
17007,1975,31500
17007,1976,27500
17007,1977,35000
17007,1978,38000
17007,1979,46500
17007,1980,47000
17007,1981,37500
17007,1982,40500
17007,1983,34500
17007,1984,41000
17007,1985,35000
17007,1986,33500
17007,1987,29500
17007,1988,31100
17007,1989,31700
17007,1990,32000
17007,1991,35700
17007,1992,38700
17007,1993,36000
17007,1994,39500
17007,1995,45900
17007,1996,45700
17007,1997,49800
17007,1998,49900
17007,1999,54600
17007,2000,56800
17007,2001,55600
17007,2002,55600
17007,2003,52900
17007,2004,45800
17007,2005,42800
17007,2006,46800
17007,2007,30800
17007,2008,37900
17007,2009,34900
17007,2010,42800
17007,2011,34000
17007,2012,35800
17007,2013,40200
17007,2014,39800
17007,2015,43100
17007,2016,39100
17007,2017,45800
17007,2018,48600
17007,2019,41400
17007,2020,45000
17007,2021,43700
17007,2022,50400
17007,2023,48600
17007,2024,56100
17007,2025,44900
17011,1951,12900
17011,1952,11800
17011,1953,12500
17011,1954,17100
17011,1955,16400
17011,1956,22700
17011,1957,24400
17011,1958,26700
17011,1959,21800
17011,1960,23200
17011,1961,35800
17011,1962,37000
17011,1963,39700
17011,1964,45200
17011,1965,50500
17011,1966,55800
17011,1967,57600
17011,1968,72500
17011,1969,80000
17011,1970,83500
17011,1971,92500
17011,1972,103700
17011,1973,141000
17011,1974,123100
17011,1975,120000
17011,1976,99000
17011,1977,118000
17011,1978,115400
17011,1979,129000
17011,1980,122000
17011,1981,116500
17011,1982,118700
17011,1983,115500
17011,1984,123000
17011,1985,125000
17011,1986,123500
17011,1987,117500
17011,1988,118700
17011,1989,135300
17011,1990,126200
17011,1991,134400
17011,1992,144400
17011,1993,146000
17011,1994,154300
17011,1995,150500
17011,1996,151700
17011,1997,160500
17011,1998,173900
17011,1999,182300
17011,2000,179500
17011,2001,186000
17011,2002,174500
17011,2003,163200
17011,2004,146600
17011,2005,131300
17011,2006,147300
17011,2007,110800
17011,2008,115300
17011,2009,126700
17011,2010,119600
17011,2011,111900
17011,2012,119300
17011,2013,133500
17011,2014,141800
17011,2015,160400
17011,2016,146300
17011,2017,156500
17011,2018,152500
17011,2019,140500
17011,2020,153800
17011,2021,165600
17011,2022,173000
17011,2023,164600
17011,2024,170000
17011,2025,163000
17015,1951,200
17015,1952,400
17015,1953,500
17015,1954,900
17015,1955,900
17015,1956,1300
17015,1957,1000
17015,1958,2300
17015,1959,1400
17015,1960,1800
17015,1961,2100
17015,1962,3100
17015,1963,2600
17015,1964,4500
17015,1965,6100
17015,1966,5700
17015,1967,7000
17015,1968,7300
17015,1969,7800
17015,1970,8800
17015,1971,10000
17015,1972,11300
17015,1973,19000
17015,1974,13400
17015,1975,11500
17015,1976,9500
17015,1977,10500
17015,1978,9700
17015,1979,11500
17015,1980,10500
17015,1981,9300
17015,1982,8800
17015,1983,9800
17015,1984,13500
17015,1985,14000
17015,1986,14700
17015,1987,13400
17015,1988,14400
17015,1989,16900
17015,1990,15300
17015,1991,17900
17015,1992,19800
17015,1993,22000
17015,1994,24800
17015,1995,28800
17015,1996,31900
17015,1997,38900
17015,1998,44900
17015,1999,48700
17015,2000,52800
17015,2001,58600
17015,2002,59700
17015,2003,55900
17015,2004,53900
17015,2005,49800
17015,2006,54700
17015,2007,34800
17015,2008,42600
17015,2009,42900
17015,2010,34000
17015,2011,32900
17015,2012,33900
17015,2013,32200
17015,2014,41900
17015,2015,41300
17015,2016,43100
17015,2017,46800
17015,2018,42600
17015,2019,38700
17015,2020,40700
17015,2021,48600
17015,2022,49900
17015,2023,47200
17015,2024,49100
17015,2025,45300
17025,1951,61700
17025,1952,57300
17025,1953,64500
17025,1954,49300
17025,1955,51400
17025,1956,50500
17025,1957,49800
17025,1958,60300
17025,1959,69100
17025,1960,73400
17025,1961,76100
17025,1962,80100
17025,1963,81100
17025,1964,83200
17025,1965,85600
17025,1966,80600
17025,1967,77300
17025,1968,84000
17025,1969,73000
17025,1970,77000
17025,1971,83200
17025,1972,81300
17025,1973,86000
17025,1974,81700
17025,1975,83000
17025,1976,76500
17025,1977,94000
17025,1978,101700
17025,1979,101000
17025,1980,104000
17025,1981,94000
17025,1982,95500
17025,1983,93000
17025,1984,92000
