county_fips,state,county
17007,ILLINOIS,BOONE
17011,ILLINOIS,BUREAU
17015,ILLINOIS,CARROLL
17025,ILLINOIS,CLAY
17033,ILLINOIS,CRAWFORD
17049,ILLINOIS,EFFINGHAM
17055,ILLINOIS,FRANKLIN
17057,ILLINOIS,FULTON
17075,ILLINOIS,IROQUOIS
17081,ILLINOIS,JEFFERSON
17089,ILLINOIS,KANE
17095,ILLINOIS,KNOX
17105,ILLINOIS,LIVINGSTON
17113,ILLINOIS,MCLEAN
17117,ILLINOIS,MACOUPIN
17119,ILLINOIS,MADISON
17121,ILLINOIS,MARION
17133,ILLINOIS,MONROE
17143,ILLINOIS,PEORIA
17145,ILLINOIS,PERRY
17157,ILLINOIS,RANDOLPH
17163,ILLINOIS,ST CLAIR
17167,ILLINOIS,SANGAMON
17177,ILLINOIS,STEPHENSON
17179,ILLINOIS,TAZEWELL
17189,ILLINOIS,WASHINGTON
17201,ILLINOIS,WINNEBAGO
17203,ILLINOIS,WOODFORD
18003,INDIANA,ALLEN
18007,INDIANA,BENTON
18011,INDIANA,BOONE
18019,INDIANA,CLARK
18027,INDIANA,DAVIESS
18031,INDIANA,DECATUR
18041,INDIANA,FAYETTE
18047,INDIANA,FRANKLIN
18057,INDIANA,HAMILTON
18059,INDIANA,HANCOCK
18063,INDIANA,HENDRICKS
18067,INDIANA,HOWARD
18069,INDIANA,HUNTINGTON
18085,INDIANA,KOSCIUSKO
18087,INDIANA,LAGRANGE
18091,INDIANA,LA PORTE
18095,INDIANA,MADISON
18113,INDIANA,NOBLE
18145,INDIANA,SHELBY
18183,INDIANA,WHITLEY
19009,IOWA,AUDUBON
19013,IOWA,BLACK HAWK
19015,IOWA,BOONE
19019,IOWA,BUCHANAN
19023,IOWA,BUTLER
19025,IOWA,CALHOUN
19041,IOWA,CLAY
19045,IOWA,CLINTON
19047,IOWA,CRAWFORD
19049,IOWA,DALLAS
19051,IOWA,DAVIS
19059,IOWA,DICKINSON
19069,IOWA,FRANKLIN
19073,IOWA,GREENE
19079,IOWA,HAMILTON
19081,IOWA,HANCOCK
19087,IOWA,HENRY
19089,IOWA,HOWARD
19091,IOWA,HUMBOLDT
19101,IOWA,JEFFERSON
19105,IOWA,JONES
19111,IOWA,LEE
19131,IOWA,MITCHELL
19133,IOWA,MONONA
19135,IOWA,MONROE
19137,IOWA,MONTGOMERY
19139,IOWA,MUSCATINE
19141,IOWA,O BRIEN
19153,IOWA,POLK
19163,IOWA,SCOTT
19169,IOWA,STORY
19187,IOWA,WEBSTER
19189,IOWA,WINNEBAGO
19195,IOWA,WORTH
19197,IOWA,WRIGHT
27011,MINNESOTA,BIG STONE
27013,MINNESOTA,BLUE EARTH
27015,MINNESOTA,BROWN
27019,MINNESOTA,CARVER
27033,MINNESOTA,COTTONWOOD
27039,MINNESOTA,DODGE
27045,MINNESOTA,FILLMORE
27047,MINNESOTA,FREEBORN
27059,MINNESOTA,ISANTI
27063,MINNESOTA,JACKSON
27085,MINNESOTA,MCLEOD
27129,MINNESOTA,RENVILLE
27143,MINNESOTA,SIBLEY
27147,MINNESOTA,STEELE
27149,MINNESOTA,STEVENS
27151,MINNESOTA,SWIFT
27161,MINNESOTA,WASECA
27163,MINNESOTA,WASHINGTON
27165,MINNESOTA,WATONWAN
29011,MISSOURI,BARTON
29057,MISSOURI,DADE
29069,MISSOURI,DUNKLIN
29143,MISSOURI,NEW MADRID
29155,MISSOURI,PEMISCOT
29207,MISSOURI,STODDARD
39003,OHIO,ALLEN
39007,OHIO,ASHTABULA
39011,OHIO,AUGLAIZE
39015,OHIO,BROWN
39021,OHIO,CHAMPAIGN
39023,OHIO,CLARK
39027,OHIO,CLINTON
39033,OHIO,CRAWFORD
39041,OHIO,DELAWARE
39057,OHIO,GREENE
39065,OHIO,HARDIN
39069,OHIO,HENRY
39091,OHIO,LOGAN
39097,OHIO,MADISON
39103,OHIO,MEDINA
39109,OHIO,MIAMI
39113,OHIO,MONTGOMERY
39123,OHIO,OTTAWA
39125,OHIO,PAULDING
39129,OHIO,PICKAWAY
39135,OHIO,PREBLE
39137,OHIO,PUTNAM
39141,OHIO,ROSS
39151,OHIO,STARK
39155,OHIO,TRUMBULL
39165,OHIO,WARREN
39175,OHIO,WYANDOT
