county_fips,year,yield_bu_per_acre
17007,1951,24.0
17007,1952,26.5
17007,1953,22.0
17007,1954,27.5
17007,1955,22.0
17007,1956,27.5
17007,1957,30.0
17007,1958,25.0
17007,1959,31.0
17007,1960,23.5
17007,1961,26.5
17007,1962,26.0
17007,1963,29.0
17007,1964,28.5
17007,1965,26.5
17007,1966,23.5
17007,1967,27.5
17007,1968,34.0
17007,1969,31.0
17007,1970,32.0
17007,1971,29.0
17007,1972,32.5
17007,1973,30.0
17007,1974,20.0
17007,1975,35.0
17007,1976,29.0
17007,1977,37.0
17007,1978,34.5
17007,1979,38.0
17007,1980,39.0
17007,1981,42.0
17007,1982,37.0
17007,1983,37.0
17007,1984,31.5
17007,1985,38.5
17007,1986,36.5
17007,1987,43.0
17007,1988,24.5
17007,1989,41.0
17007,1990,43.0
17007,1991,38.0
17007,1992,42.0
17007,1993,37.0
17007,1994,48.5
17007,1995,42.5
17007,1996,36.0
17007,1997,44.5
17007,1998,52.5
17007,1999,50.0
17007,2000,36.0
17007,2001,45.0
17007,2002,38.0
17007,2003,27.0
17007,2004,49.0
17007,2005,35.0
17007,2006,51.0
17007,2007,48.0
17007,2008,42.0
17007,2009,45.0
17007,2010,58.1
17007,2011,59.5
17007,2012,43.9
17007,2013,52.5
17007,2014,57.4
17007,2015,58.1
17007,2016,62.3
17007,2017,47.4
17007,2018,60.3
17007,2019,50.0
17007,2020,53.0
17007,2021,69.2
17007,2022,62.2
17007,2023,59.6
17007,2024,62.9
17007,2025,66.2
17011,1951,29.0
17011,1952,30.5
17011,1953,26.0
17011,1954,30.0
17011,1955,29.0
17011,1956,31.0
17011,1957,31.5
17011,1958,31.0
17011,1959,31.5
17011,1960,31.5
17011,1961,33.0
17011,1962,31.5
17011,1963,32.0
17011,1964,30.5
17011,1965,33.0
17011,1966,31.0
17011,1967,32.0
17011,1968,35.5
17011,1969,38.5
17011,1970,35.5
17011,1971,36.0
17011,1972,37.0
17011,1973,38.0
17011,1974,27.5
17011,1975,41.0
17011,1976,34.5
17011,1977,42.0
17011,1978,38.5
17011,1979,43.5
17011,1980,39.5
17011,1981,45.0
17011,1982,42.0
17011,1983,42.0
17011,1984,40.0
17011,1985,45.0
17011,1986,43.5
17011,1987,46.0
17011,1988,28.5
17011,1989,42.5
17011,1990,41.5
17011,1991,44.5
17011,1992,43.0
17011,1993,46.5
17011,1994,51.5
17011,1995,43.5
17011,1996,46.5
17011,1997,48.5
17011,1998,52.5
17011,1999,45.0
17011,2000,48.0
17011,2001,49.0
17011,2002,49.0
17011,2003,37.0
17011,2004,51.0
17011,2005,48.0
17011,2006,53.0
17011,2007,51.0
17011,2008,49.0
17011,2009,44.0
17011,2010,55.0
17011,2011,58.1
17011,2012,55.0
17011,2013,56.3
17011,2014,59.9
17011,2015,60.2
17011,2016,64.2
17011,2017,59.1
17011,2018,68.5
17011,2019,57.4
17011,2020,64.8
17011,2021,66.4
17011,2022,67.5
17011,2023,66.9
17011,2024,72.9
17011,2025,71.8
17015,1951,25.5
17015,1952,27.0
17015,1953,19.0
17015,1954,24.5
17015,1955,20.0
17015,1956,22.0
17015,1957,24.5
17015,1958,20.0
17015,1959,23.0
17015,1960,22.5
17015,1961,25.0
17015,1962,26.0
17015,1963,25.0
17015,1964,26.5
17015,1965,26.0
17015,1966,24.5
17015,1967,26.5
17015,1968,32.5
